weekday,date,study_time,study_decimal
1,7/9/2018,,0.00
2,7/10/2018,,0.00
3,7/11/2018,,0.00
4,7/12/2018,,0.00
5,7/13/2018,,0.00
6,7/14/2018,,0.00
7,7/15/2018,,0.00
1,7/16/2018,,0.00
2,7/17/2018,,0.00
3,7/18/2018,,0.00
4,7/19/2018,,0.00
5,7/20/2018,,0.00
6,7/21/2018,,0.00
7,7/22/2018,,0.00
1,7/23/2018,,0.00
2,7/24/2018,,0.00
3,7/25/2018,,0.00
4,7/26/2018,,0.00
5,7/27/2018,,0.00
6,7/28/2018,,0.00
7,7/29/2018,,0.00
1,7/30/2018,,0.00
2,7/31/2018,,0.00
3,8/1/2018,,0.00
4,8/2/2018,,0.00
5,8/3/2018,,0.00
6,8/4/2018,,0.00
7,8/5/2018,,0.00
1,8/6/2018,,0.00
2,8/7/2018,,0.00
3,8/8/2018,,0.00
4,8/9/2018,,0.00
5,8/10/2018,,0.00
6,8/11/2018,,0.00
7,8/12/2018,,0.00
1,8/13/2018,,0.00
2,8/14/2018,,0.00
3,8/15/2018,,0.00
4,8/16/2018,,0.00
5,8/17/2018,,0.00
6,8/18/2018,,0.00
7,8/19/2018,,0.00
1,8/20/2018,8:31,8.52
2,8/21/2018,4:12,4.20
3,8/22/2018,4:12,4.20
4,8/23/2018,3:37,3.62
5,8/24/2018,2:53,2.88
6,8/25/2018,0:00,0.00
7,8/26/2018,0:00,0.00
1,8/27/2018,7:00,7.00
2,8/28/2018,3:31,3.52
3,8/29/2018,4:00,4.00
4,8/30/2018,7:37,7.62
5,8/31/2018,2:40,2.67
6,9/1/2018,0:00,0.00
7,9/2/2018,0:00,0.00
1,9/3/2018,0:00,0.00
2,9/4/2018,3:45,3.75
3,9/5/2018,3:00,3.00
4,9/6/2018,10:30,10.50
5,9/7/2018,6:00,6.00
6,9/8/2018,1:13,1.22
7,9/9/2018,0:00,0.00
1,9/10/2018,6:32,6.53
3,9/11/2018,7:30,7.50
4,9/12/2018,3:30,3.50
5,9/13/2018,10:20,10.33
6,9/14/2018,10:00,10.00
7,9/15/2018,0:30,0.50
1,9/16/2018,2:15,2.25
2,9/17/2018,3:00,3.00
3,9/18/2018,2:00,2.00
4,9/19/2018,5:00,5.00
5,9/20/2018,13:45,13.75
6,9/21/2018,7:04,7.07
7,9/22/2018,0:00,0.00
1,9/23/2018,0:00,0.00
2,9/24/2018,8:31,8.52
3,9/25/2018,6:48,6.80
4,9/26/2018,7:13,7.22
5,9/27/2018,6:13,6.22
6,9/28/2018,5:36,5.60
7,9/29/2018,3:23,3.38
1,9/30/2018,4:15,4.25
2,10/1/2018,4:00,4.00
3,10/2/2018,3:05,3.08
4,10/3/2018,8:00,8.00
5,10/4/2018,9:30,9.50
5,10/5/2018,5:38,5.63
6,10/6/2018,0:00,0.00
7,10/7/2018,0:00,0.00
1,10/8/2018,6:00,6.00
2,10/9/2018,3:31,3.52
3,10/10/2018,6:00,6.00
